GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200190,17,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,15,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200190,335,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200190,447,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,1,19,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,2,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200190,587,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200190,592,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-161,252,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200190,600,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,1,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20221112,DAL,POR,1970,,,,
Shot Chart Detail,22200209,61,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,89,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,32,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,15,80,133,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,210,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,8,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,5,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,256,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,22,1,1,20221115,POR,SAS,1970,,,,
