PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG3M,FG3A,FG3_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,AST,TOV,SEASON
1630162,Anthony Edwards,MIN,72,34.2,3.0,8.4,0.357,7.6,17.3,0.441,3.1,3.9,0.786,3.8,2.6,2021-22
1630162,Anthony Edwards,MIN,79,36.0,2.7,7.3,0.369,8.9,19.5,0.459,4.0,5.3,0.756,4.4,3.3,2022-23
1630162,Anthony Edwards,MIN,79,35.1,2.4,6.7,0.357,9.1,19.7,0.461,5.4,6.4,0.836,5.1,3.1,2023-24
1630237,Anthony Lamb,HOU,24,17.3,1.0,3.0,0.324,1.9,4.9,0.39,0.8,0.9,0.857,1.0,0.8,2020-21
1630237,Anthony Lamb,GSW,62,19.3,1.2,3.2,0.367,2.4,5.1,0.471,0.7,1.0,0.767,1.5,0.9,2022-23
201627,Anthony Morrow,OKC,74,24.4,1.9,4.4,0.434,3.9,8.3,0.463,1.1,1.2,0.888,0.8,0.5,2014-15
201627,Anthony Morrow,OKC,68,13.6,1.2,3.0,0.387,2.0,4.9,0.408,0.4,0.6,0.744,0.4,0.3,2015-16
201627,Anthony Morrow,CHI,49,14.6,0.8,2.7,0.308,2.0,5.1,0.389,0.7,0.8,0.919,0.5,0.1,2016-17
201229,Anthony Tolliver,DET,76,18.9,1.4,3.8,0.366,2.1,5.2,0.41,0.7,0.9,0.783,0.8,0.7,2014-15
201229,Anthony Tolliver,DET,72,18.6,1.4,3.8,0.36,1.8,4.6,0.386,0.4,0.7,0.617,0.7,0.4,2015-16
201229,Anthony Tolliver,SAC,65,22.7,1.4,3.5,0.391,2.4,5.4,0.442,0.9,1.3,0.744,1.2,0.9,2016-17
201229,Anthony Tolliver,DET,79,22.2,2.0,4.6,0.436,2.8,6.0,0.464,1.3,1.7,0.797,1.1,0.7,2017-18
201229,Anthony Tolliver,MIN,65,16.6,1.2,3.3,0.377,1.5,4.0,0.382,0.7,0.9,0.783,0.7,0.6,2018-19
201229,Anthony Tolliver,MEM,55,15.9,0.9,2.6,0.338,1.2,3.3,0.357,0.4,0.5,0.724,0.8,0.6,2019-20
1628469,Antonio Blakeney,CHI,19,16.5,0.8,2.7,0.288,2.8,7.5,0.371,1.6,2.1,0.769,1.1,0.6,2017-18
1628469,Antonio Blakeney,CHI,57,14.5,0.6,1.6,0.396,2.9,6.9,0.419,0.9,1.3,0.658,0.7,0.6,2018-19
203462,Archie Goodwin,PHX,57,19.5,0.4,1.7,0.232,3.1,7.4,0.417,2.3,3.4,0.674,2.1,1.8,2015-16
1629717,Armoni Brooks,HOU,20,26.0,3.0,7.9,0.382,3.9,9.6,0.406,0.4,0.6,0.583,1.5,1.1,2020-21
1629717,Armoni Brooks,TOR,54,15.6,1.4,4.6,0.297,1.8,5.4,0.339,0.3,0.4,0.857,1.1,0.5,2021-22
203382,Aron Baynes,BOS,51,16.1,0.4,1.2,0.344,2.1,4.4,0.471,1.0,1.2,0.855,1.1,0.8,2018-19
203382,Aron Baynes,PHX,42,22.2,1.4,4.0,0.351,4.4,9.1,0.48,1.3,1.8,0.747,1.6,1.2,2019-20
203382,Aron Baynes,TOR,53,18.5,0.5,1.9,0.262,2.5,5.7,0.441,0.5,0.8,0.707,0.9,0.9,2020-21
201167,Arron Afflalo,POR,78,32.1,1.5,4.3,0.354,4.8,11.3,0.424,2.1,2.5,0.843,1.7,1.5,2014-15
201167,Arron Afflalo,NYK,71,33.4,1.3,3.4,0.382,5.0,11.3,0.443,1.5,1.8,0.84,2.0,1.2,2015-16
201167,Arron Afflalo,SAC,61,25.9,1.0,2.5,0.411,3.0,6.9,0.44,1.4,1.5,0.892,1.3,0.7,2016-17
201167,Arron Afflalo,ORL,53,12.9,0.5,1.3,0.386,1.2,3.1,0.401,0.4,0.5,0.846,0.6,0.4,2017-18
1641709,Ausar Thompson,DET,63,25.1,0.3,1.8,0.186,3.7,7.6,0.483,1.1,1.9,0.597,1.9,1.3,2023-24
201948,Austin Daye,ATL,34,10.1,0.7,2.1,0.338,1.5,4.1,0.355,0.1,0.2,0.833,0.5,0.7,2014-15
1630559,Austin Reaves,LAL,61,23.2,0.9,2.7,0.317,2.4,5.2,0.459,1.6,1.9,0.839,1.8,0.7,2021-22
1630559,Austin Reaves,LAL,64,28.8,1.3,3.4,0.398,4.0,7.7,0.529,3.6,4.1,0.864,3.4,1.5,2022-23
1630559,Austin Reaves,LAL,82,32.1,1.9,5.1,0.367,5.6,11.5,0.486,2.8,3.3,0.853,5.5,2.1,2023-24
203085,Austin Rivers,LAC,76,20.6,0.5,1.7,0.298,2.7,6.5,0.409,1.1,1.7,0.675,2.0,0.9,2014-15
203085,Austin Rivers,LAC,67,21.8,0.9,2.8,0.335,3.4,7.7,0.438,1.2,1.7,0.681,1.5,0.9,2015-16
203085,Austin Rivers,LAC,74,27.8,1.5,4.0,0.371,4.4,9.9,0.442,1.8,2.6,0.691,2.8,1.6,2016-17
